demo_npi,series,value
1457394306,peer_group,136.03
1457394306,peer_group,135.83
1457394306,peer_group,135.60
1457394306,peer_group,135.43
1457394306,peer_group,134.62
1457394306,peer_group,134.55
1457394306,peer_group,133.14
1457394306,peer_group,132.01
1457394306,peer_group,131.05
1457394306,peer_group,129.98
1457394306,peer_group,129.93
1457394306,peer_group,129.22
1457394306,peer_group,129.18
1457394306,peer_group,126.59
1457394306,peer_group,124.37
1457394306,peer_group,123.87
1457394306,peer_group,122.88
1457394306,peer_group,122.64
1457394306,peer_group,122.12
1457394306,peer_group,121.42
1457394306,peer_group,119.08
1457394306,peer_group,118.62
1457394306,peer_group,118.43
1457394306,peer_group,118.24
1457394306,peer_group,118.23
1457394306,peer_group,117.36
1457394306,peer_group,116.54
1457394306,peer_group,115.93
1457394306,peer_group,112.56
1457394306,peer_group,111.26
1457394306,peer_group,110.54
1457394306,peer_group,109.89
1457394306,peer_group,108.70
1457394306,peer_group,107.35
1457394306,peer_group,106.50
1457394306,peer_group,106.19
1457394306,peer_group,105.49
1457394306,peer_group,104.41
1457394306,peer_group,102.53
1457394306,peer_group,102.10
1457394306,peer_group,99.89
1457394306,peer_group,99.88
1457394306,peer_group,97.59
1457394306,peer_group,96.14
1457394306,peer_group,95.37
1457394306,peer_group,94.22
1457394306,peer_group,93.75
1457394306,peer_group,93.68
1457394306,peer_group,93.49
1457394306,peer_group,93.34
1457394306,peer_group,93.27
1457394306,peer_group,92.97
1457394306,peer_group,91.27
1457394306,peer_group,89.95
1457394306,peer_group,89.58
1457394306,peer_group,88.71
1457394306,peer_group,87.87
1457394306,peer_group,87.50
1457394306,peer_group,86.30
1457394306,peer_group,82.98
1457394306,peer_group,82.67
1457394306,peer_group,82.14
1457394306,peer_group,82.02
1457394306,peer_group,79.75
1457394306,peer_group,79.73
1457394306,peer_group,79.67
1457394306,peer_group,79.62
1457394306,peer_group,79.16
1457394306,peer_group,78.42
1457394306,peer_group,76.94
1457394306,peer_group,76.78
1457394306,peer_group,76.14
1457394306,peer_group,72.69
1457394306,peer_group,72.37
1457394306,peer_group,72.29
1457394306,peer_group,72.21
1457394306,peer_group,72.06
1457394306,peer_group,71.38
1457394306,peer_group,70.22
1457394306,peer_group,64.54
1457394306,peer_group,64.13
1457394306,peer_group,64.04
1457394306,peer_group,63.27
1457394306,peer_group,62.98
1457394306,peer_group,62.94
1457394306,peer_group,62.49
1457394306,peer_group,61.92
1457394306,peer_group,61.52
1457394306,peer_group,61.44
1457394306,peer_group,60.49
1457394306,peer_group,58.81
1457394306,peer_group,57.93
1457394306,peer_group,57.31
1457394306,peer_group,54.17
1457394306,peer_group,54.06
1457394306,peer_group,53.62
